Data Source,Variable,Method,Unit,LOQ,Nisan 22,Haziran 22,Eylül 22,Aralık 22,Mart 23,Haziran 23,Eylül 23,Aralık 23,Mart 24,Haziran 24,Eylül 24
"Çınar Çevre Lab,",İletkenlik ,TS 9748 EN 27888,µS/cm,-,374,310,348,342,311,354,288,365,299,370,377
"Çınar Çevre Lab,","Orto Fosfat, ",SM 4500 P-E,mg/L,"<0,01","<0,01","0,0230","<0,01","0,0220","<0,01","<0,01","0,0300","0,0260","0,0270","<0,01","0,025"
"Çınar Çevre Lab,","Toplam Fosfor, ","TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,005","0,0290","0,0323","0,0240","0,0187","0,0229","0,0253","0,0278","<0,005","0,0116","0,0176","0,0265"
"Çınar Çevre Lab,",Alkalinite Tayini ,SM 2320 B,mg/L,<2,"177,0","170,4","186,2","168,2","180,8","168,2","178,2","178,4","181,6","171,0","170,6"
"Çınar Çevre Lab,",Amonyum Azotu Tayini ,SM 4500-NH₃ B-F,mg/L,"<0,016","<0,016","<0,016","<0,016","<0,016","<0,016","<0,016","<0,016","<0,016","<0,016","<0,016","<0,016"
"Çınar Çevre Lab,",Askıda Katı Madde Tayini ,SM 2540 D,mg AKM/L,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
"Çınar Çevre Lab,",Biyokimyasal Oksijen İhtiyacı (BOİ5) Tayini ,SM 5210 B,mg/L,<3,<3,<3,<3,<3,"<3,0",<3,<3,<3,<3,<3,<3
"Çınar Çevre Lab,",Çözünmüş Oksijen-Oksijen Doygunluğu (Çözünmüş Oksijen) ,ASTM D 888,mg/L,-,"7,38","7,33","7,44","8,14","7,81","8,15","8,19","8,24","7,89","7,79","7,57"
"Çınar Çevre Lab,",Çözünmüş Oksijen-Oksijen Doygunluğu (Oksijen Doygunluğu) ,ASTM D 888,%,-,80,90,91,91,88,93,95,93,88,92,"90,9"
"Çınar Çevre Lab,",Florür (F-) ,SM 4110 B ,mg/L,"<0,1","0,115","<0,1","<0,1","<0,1","0,1258","<0,1","<0,1","<0,1","<0,1","<0,1","<0,1"
"Çınar Çevre Lab,",Karbonatların Tayini (Bikarbonat) ,SM 2320 B,mg/L,<2,177,160,"174,2","162,6","173,6","155,4","164,6",172,"161,6","164,6",167
"Çınar Çevre Lab,",Karbonatların Tayini (Karbonat (CaCO3),SM 2320 B,mg/L,<2,<2,"10,4",12,"5,6","7,2","12,8","13,6","6,4",20,"6,4","3,6"
"Çınar Çevre Lab,",Karbonatların Tayini (Hidroksil),SM 2320 B,mg/L,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2,<2
"Çınar Çevre Lab,",Kimyasal Oksijen İhtiyacı (KOİ) Tayini ,SM 5220 B,mg/L,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
"Çınar Çevre Lab,",Klorür (Cl-) ,SM 4110 B,mg/L,<1,"8,09","8,05","7,05","7,11","9,01","8,47","6,60","5,81","7,37","7,26","7,35"
"Çınar Çevre Lab,",Nitrat Azotu (NO3-N) ,SM 4110 B,mg/L,"<0,1","3,57","3,80","3,33","3,31","4,00","4,11","2,79","2,50","3,51","3,20","1,5"
"Çınar Çevre Lab,",Nitrit Azotu Tayini ,SM 4110 B,mg/L,"<0,002","<0,002","<0,002","<0,002","<0,002","<0,002","<0,002","<0,002","<0,002","<0,002","<0,002","<0,002"
"Çınar Çevre Lab,",pH ,SM 4500-H⁺B,-,-,"8,18","7,96","7,79","7,97","7,82","7,79","7,17","7,83","7,78","8,02","7,98"
"Çınar Çevre Lab,",Sülfat (SO4-2) ,SM 4110 B,mg/L,"<0,5","7,19","8,14","7,09","7,05","8,94","8,70","6,45","5,72","8,77","7,79","7,01"
"Çınar Çevre Lab,",Sülfür Tayini,SM 4500 S-2 D,mg/L,"<0,002","<0,002","<0,002","<0,002","<0,002","<0,002","<0,002","<0,002","<0,002","<0,002","<0,002","<0,002"
"Çınar Çevre Lab,",Suda Toplam Çözünmüş Madde Tayini ,SM 2540 C,mg/L,-,"159,8","149,0","167,1","164,4","149,0","170,1","137,8","175,2","143,3","177,6","181,1"
"Çınar Çevre Lab,",Toplam Organik Karbon (TOC) Tayini  ,TS 8195 EN 1484,mg/L,4,4,4,4,4,4,4,4,4,4,4,4
"Çınar Çevre Lab,",Toplam Siyanür Tayini ,SM 4500-CN E,mg/L,"<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005"
"Çınar Çevre Lab,",Tetrachloroethylene,"EPA 5021 A, EPA 8260 C",µg/L,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
"Çınar Çevre Lab,",Trichloroethylene,"EPA 5021 A, EPA 8260 C",µg/L,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10,<10
"Çınar Çevre Lab,",Çözünmüş Alüminyum (Al) ,TS EN ISO 17294-1-2,mg/L,"<0,02","0,06067","<0,02","<0,02","<0,02","<0,02","<0,02","<0,02","<0,02","0,02281","<0,02","<0,02"
"Çınar Çevre Lab,",Çözünmüş Antimon Tayini  ,TS EN ISO 17294-1-2,mg/L,"<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005"
"Çınar Çevre Lab,",Çözünmüş Arsenik (As) ,TS EN ISO 17294-1-2,mg/L,"<0,0005","0,00093","0,00137","0,00104","0,0013","0,00127","0,00149","0,00128","0,0013","0,00141","0,0011","0,0013"
"Çınar Çevre Lab,",Çözünmüş Bakır (Cu) ,TS EN ISO 17294-1-2,mg/L,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
"Çınar Çevre Lab,",Çözünmüş Baryum (Ba),TS EN ISO 17294-1-2,mg/L,"<0,005","0,00809","0,00659","0,0068","0,00785","0,00669","0,0083","0,007","0,00646","0,00754","0,00607","0,0079"
"Çınar Çevre Lab,",Çözünmüş Bor (B) ,TS EN ISO 17294-1-2,mg/L,"<0,02","0,04045","<0,02","0,03698","0,03111","0,04937","0,04864","0,05189","<0,02","0,05415","0,07554","0,0483"
"Çınar Çevre Lab,",Çözünmüş Civa (Hg) ,TS EN ISO 17294-1-2,mg/L,"<0,0001","<0,0001","<0,0001","<0,0001","<0,0001","<0,0001","<0,0001","<0,0001","<0,0001","<0,0001","<0,0001","<0,0001"
"Çınar Çevre Lab,",Çözünmüş Çinko (Zn) ,TS EN ISO 17294-1-2,mg/L,"<0,001","0,109","0,02727","<0,001","0,00303","0,00206","0,01637","0,0065","<0,001","0,04661","0,01928","0,0017"
"Çınar Çevre Lab,",Çözünmüş Demir (Fe) ,TS EN ISO 17294-1-2,mg/L,"<0,005","0,14614","0,01634","<0,005","0,00827","<0,005","<0,005","<0,005","0,02317","0,0215","0,01046","0,007444"
"Çınar Çevre Lab,",Çözünmüş Kadmiyum (Cd) ,TS EN ISO 17294-1-2,mg/L,"<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005"
"Çınar Çevre Lab,",Çözünmüş Kalsiyum Tayini  ,TS EN ISO 17294-1-2,mg/L,"<0,005","33,05878","32,50827","38,66563","32,56485","38,0582","35,55006","31,51546","34,29175","36,8159","30,42252","30,79"
"Çınar Çevre Lab,",Çözünmüş Kobalt (Co) ,TS EN ISO 17294-1-2,mg/L,"<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005"
"Çınar Çevre Lab,",Çözünmüş Krom Tayini,TS EN ISO 17294-1-2,mg/L,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
"Çınar Çevre Lab,",Çözünmüş Kurşun (Pb) ,TS EN ISO 17294-1-2,mg/L,"<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005"
"Çınar Çevre Lab,",Çözünmüş Magnezyum Tayini  ,TS EN ISO 17294-1-2,mg/L,"<0,05","12,54","12,44","14,36","13,91","13,78","14,59","13,79","12,30","14,42","14,80","13,88"
"Çınar Çevre Lab,",Çözünmüş Mangan Tayini  ,TS EN ISO 17294-1-2,mg/L,"<0,0005","0,00281","0,00128","0,0008","0,00113","<0,0005","0,00055","0,00218","0,00087","0,0012","0,00112","0,001"
"Çınar Çevre Lab,",Çözünmüş Nikel (Ni) ,TS EN ISO 17294-1-2,mg/L,"<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005"
"Çınar Çevre Lab,",Çözünmüş Potasyum Tayini  ,TS EN ISO 17294-1-2,mg/L,"<0,05","2,3907","2,31664","2,51237","2,69809","2,45782","2,53819","2,1957","2,50644","2,54276","2,17792","2,361"
"Çınar Çevre Lab,",Çözünmüş Selenyum Tayini ,TS EN ISO 17294-1-2,mg/L,"<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005"
"Çınar Çevre Lab,",Çözünmüş Sodyum Tayini  ,TS EN ISO 17294-1-2,mg/L,"<0,05","19,03055","17,8097","19,26752","19,19282","18,57735","19,90377","18,11424","20,81115","19,40611","18,56671","20,024"
"Çınar Çevre Lab,",Çözünmüş Molibden Tayini,TS EN ISO 17294-1-2,mg/L,"<0,0005",,,"<0,0005",,,"0,00066","<0,0005","0,0006","<0,0005","<0,0005","<0,0005"
"Çınar Çevre Lab,",Toplam Alüminyum (Al) ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,02","0,06315","<0,02","<0,02","<0,02","<0,02","<0,02","0,02459","0,016912","0,05662","<0,02","0,03924"
"Çınar Çevre Lab,",Toplam Antimon Tayini  ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005"
"Çınar Çevre Lab,",Toplam Arsenik (As) ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,0005","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,001","0,002","0,001","0,00139"
"Çınar Çevre Lab,",Toplam Bakır (Cu) ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,001","<0,001","0,00","0,00","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
"Çınar Çevre Lab,",Toplam Baryum (Ba),"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,005","0,0081","0,00711","0,00774","0,0082","0,00756","0,00855","0,00856","0,02221","0,01988","0,0069","0,00845"
"Çınar Çevre Lab,",Toplam Bor (B) ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,02","0,053","<0,02","0,038","0,032","0,052","0,058","0,054","<0,02","0,063","0,089","0,04838"
"Çınar Çevre Lab,",Toplam Civa (Hg) ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,0001","<0,0001","<0,0001","<0,0001","<0,0001","<0,0001","<0,0001","<0,0001","<0,0001","<0,0001","<0,0001","<0,0001"
"Çınar Çevre Lab,",Toplam Çinko (Zn) ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,001","0,112","0,046","0,010","0,041","0,003","0,020","0,009","0,028","0,066","0,028","0,00188"
"Çınar Çevre Lab,",Toplam Demir (Fe) ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,005","0,15107","0,05314","0,0105","0,02915","0,01323","0,00546","<0,005","0,02538","0,07631","0,01093","0,00828"
"Çınar Çevre Lab,",Toplam Kadmiyum (Cd) ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005"
"Çınar Çevre Lab,",Toplam Kalsiyum Tayini  ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,05","34,93505","32,93144","39,25967","33,65474","38,68109","37,75354","35,09543","34,99465","41,18909","33,58272","32,0489"
"Çınar Çevre Lab,",Toplam Kobalt (Co) ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005"
"Çınar Çevre Lab,",Toplam Krom Tayini,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001","<0,001"
"Çınar Çevre Lab,",Toplam Kurşun (Pb) ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","0,00055","0,00092","<0,0005","<0,0005"
"Çınar Çevre Lab,",Toplam Magnezyum Tayini  ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,05","12,66","12,50","15,96","14,46","14,16","15,29","15,03","14,51","14,83","14,88","14,59321"
"Çınar Çevre Lab,",Toplam Mangan Tayini  ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,0005","0,00305","0,00398","0,00083","0,00353","<0,0005","0,00092","0,00275","0,0051","0,00503","0,00117","0,00106"
"Çınar Çevre Lab,",Toplam Nikel (Ni) ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005","<0,005"
"Çınar Çevre Lab,",Toplam Potasyum Tayini  ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,05","2,4022","2,42284","2,6503","2,84045","2,51941","2,60404","2,38614","2,76617","2,5712","2,36856","2,52094"
"Çınar Çevre Lab,",Toplam Selenyum Tayini ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,0005","<0,0005","<0,0005","<0,0005","<0,0005","0,00","0,00","<0,0005","<0,0005","<0,0005","0,00","<0,0005"
"Çınar Çevre Lab,",Toplam Sodyum Tayini  ,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,05","19,307","17,95438","19,46027","20,02001","19,20925","20,07001","19,81583","22,64659","19,51084","18,7202","20,12781"
,Toplam Molibden Tayini,"TS EN ISO 15587, TS EN ISO 17294-1-2",mg/L,"<0,0005",,,"<0,005",,"1,09","0,00066","<0,0005","0,00061","<0,0005","0,00053","<0,0005"
"Çınar Çevre Lab,",Radyoaktivite Tayini  (Alfa Radyoaktivite),ASTM D7283,Bq/L,,,*,"0,04",,,,,,,,
"Çınar Çevre Lab,",Radyoaktivite Tayini  (Beta Radyoaktivite) ,ASTM D7283,Bq/L,,,*,"0,86",,,,,,,,
"Çınar Çevre Lab,",Zayıf Asitte Çözünebilen (WAD) Siyanür ,SM 4500-CN I,mg/L,100,"1000,000","1000,000","100,000","100,000","100,000","1000,000","1,000","<0,005","<0,005","<0,005","<0,005"
"Çınar Çevre Lab,",Coli-t,TS EN ISO 9308-1,KOB/100ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,2
"Çınar Çevre Lab,",Coli-f,SM 9222-D,KOB/100ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
"Çınar Çevre Lab,",E-Coli,TS EN ISO 9308-1,KOB/100ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
"Çınar Çevre Lab,",Enterococ,TS EN ISO 7899-2,KOB/100ml,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1
"(**): Numune alma noktası don olmasından ötürü numune alınamamıştır,",,,,,,,,,,,,,,,